"id","total_2011","total_2012","total_2013","population_2011","population_2012","population_2013","rate_2011","rate_2012","rate_2013"
"20551",0,56,15,0,21036,21093,0,2.7,0.71
"21001",27,24,25,62760,63646,64496,0.43,0.38,0.39
"21002",0,3,3,9143,9208,9270,0,0.33,0.32
"21003",13,36,48,34727,34982,35240,0.37,1,1.4
"21004",53,56,56,54126,54890,55634,0.98,1,1
"21005",0,0,0,2948,2968,2987,0,0,0
"21006",0,2,7,15159,15300,15434,0,0.13,0.45
"21007",0,1,1,3454,3454,3458,0,0.29,0.29
"21008",3,14,19,10804,10920,11032,0.28,1.3,1.7
"21009",0,2,1,2046,2052,2058,0,0.97,0.49
"21010",15,12,14,62741,63495,64257,0.24,0.19,0.22
"21011",0,0,1,1804,1808,1812,0,0,0.55
"21012",0,7,11,6452,6499,6547,0,1.1,1.7
"21013",2,3,6,19674,19946,20205,0.1,0.15,0.3
"21014",0,0,0,5060,5068,5084,0,0,0
"21015",22,74,120,108010,111120,113837,0.2,0.67,1.1
"21016",0,0,1,8054,8116,8174,0,0,0.12
"21017",1,10,10,26419,26815,27196,0.038,0.37,0.37
"21018",0,1,0,3793,3798,3807,0,0.26,0
"21019",225,162,246,130440,131532,132654,1.7,1.2,1.9
"21020",0,0,0,6570,6610,6652,0,0,0
"21021",0,0,3,1247,1250,1252,0,0,2.4
"21022",0,5,11,12018,12129,12232,0,0.41,0.9
"21023",0,3,5,8615,8666,8722,0,0.35,0.57
"21024",0,0,0,961,964,965,0,0,0
"21025",2,1,6,8355,8410,8470,0.24,0.12,0.71
"21026",2,6,9,14004,14074,14152,0.14,0.43,0.64
"21027",0,2,1,4157,4144,4112,0,0.48,0.24
"21028",0,0,1,2550,2582,2601,0,0,0.38
"21029",1,0,0,3854,3868,3884,0.26,0,0
"21030",0,0,0,779,784,790,0,0,0
"21031",0,0,0,2978,2972,2960,0,0,0
"21032",0,1,0,1291,1288,1283,0,0.78,0
"21033",1,1,1,4939,4998,5049,0.2,0.2,0.2
"21034",3,16,40,36252,36910,37510,0.083,0.43,1.1
"21035",2,3,8,19920,19961,20031,0.1,0.15,0.4
"21036",0,0,1,14618,14764,14886,0,0,0.067
"21037",0,0,2,2375,2378,2378,0,0,0.84
"21038",4,9,9,9210,9409,9589,0.43,0.96,0.94
"21039",1,0,0,9502,9606,9696,0.11,0,0
"21040",0,2,3,10094,10344,10550,0,0.19,0.28
"21041",16,97,248,86717,90188,93126,0.18,1.1,2.7
"21042",0,1,0,3062,3056,3041,0,0.33,0
"21043",3,23,22,48416,48668,48961,0.062,0.47,0.45
"21044",1,6,6,15807,15946,16088,0.063,0.38,0.37
"21045",102,101,66,45285,45777,46254,2.3,2.2,1.4
"21046",1,3,9,7266,7364,7458,0.14,0.41,1.2
"21047",0,6,12,19440,19534,19636,0,0.31,0.61
"21048",0,3,8,19446,19694,19930,0,0.15,0.4
"21049",1,1,4,16354,16562,16760,0.061,0.06,0.24
"21050",0,1,1,24508,24592,24706,0,0.041,0.04
"21051",5,17,22,34712,34902,35105,0.14,0.49,0.63
"21052",0,0,0,1254,1261,1265,0,0,0
"21053",49,69,34,60285,61167,61989,0.81,1.1,0.55
"21054",3,10,11,31580,32113,32620,0.095,0.31,0.34
"21055",1,4,3,4796,4813,4832,0.21,0.83,0.62
"21056",0,0,1,1257,1259,1260,0,0,0.79
"21057",3,3,6,7736,7828,7908,0.39,0.38,0.76
"21058",0,0,8,19638,19713,19806,0,0,0.4
"21059",2,1,4,2545,2568,2588,0.79,0.39,1.5
"21060",3,4,12,7364,7543,7700,0.41,0.53,1.6
"21061",0,2,5,12927,13049,13164,0,0.15,0.38
"21062",1,2,2,4744,4790,4830,0.21,0.42,0.41
"21063",20,38,21,14080,14160,14254,1.4,2.7,1.5
"21064",3,5,11,16592,16661,16736,0.18,0.3,0.66
"21065",2,5,5,19636,19832,20030,0.1,0.25,0.25
"21066",1,3,1,6368,6373,6381,0.16,0.47,0.16
"21067",0,11,6,17090,17280,17463,0,0.64,0.34
"21068",0,0,1,7842,7870,7905,0,0,0.13
"21069",1,12,14,25794,25863,25966,0.039,0.46,0.54
"21070",0,1,1,6776,6804,6835,0,0.15,0.15
"21071",260,171,156,100910,102016,103123,2.6,1.7,1.5
"21072",1,3,2,15873,15876,15904,0.063,0.19,0.13
"21073",1,2,2,8898,8960,9020,0.11,0.22,0.22
"21074",131,133,140,65269,65888,66524,2,2,2.1
"21075",0,1,3,12210,12314,12428,0,0.081,0.24
"21076",2,17,12,27228,27361,27520,0.073,0.62,0.44
"21077",0,0,0,6065,6222,6346,0,0,0
"21078",7,4,2,14560,14756,14939,0.48,0.27,0.13
