"id","state_code","total_2011","total_2012","total_2013","population_2011","population_2012","population_2013","rate_2011","rate_2012","rate_2013","h2011","h2012","h2013","rh2011","rh2012","rh2013"
22017,22,70,58,49,65831,66908,68000,1.1,0.87,0.72,3,3,2,0.046,0.045,0.029
22018,22,2,6,7,27029,27306,28000,0.074,0.22,0.25,0,2,0,0,0.073,0
23001,23,118,121,92,83742,85729,88000,1.4,1.4,1,3,3,6,0.036,0.035,0.068
23002,23,41,73,63,79508,81627,84000,0.52,0.89,0.75,6,21,24,0.075,0.26,0.29
23003,23,29,19,8,17454,18064,19000,1.7,1.1,0.43,2,7,4,0.11,0.39,0.21
23004,23,357,540,503,219772,225351,230000,1.6,2.4,2.2,29,30,41,0.13,0.13,0.18
23005,23,2034,1191,1199,705854,727528,750000,2.9,1.6,1.6,184,155,106,0.26,0.21,0.14
23006,23,23,18,24,38048,38918,40000,0.6,0.46,0.6,2,3,5,0.053,0.077,0.13
23007,23,8,6,4,26804,27480,28000,0.3,0.22,0.14,1,2,1,0.037,0.073,0.035
23008,23,539,489,353,176742,185664,190000,3,2.6,1.8,25,18,13,0.14,0.097,0.067
23009,23,105,35,52,30582,31731,33000,3.4,1.1,1.6,8,3,6,0.26,0.095,0.18
23010,23,29,87,111,39230,40445,42000,0.74,2.2,2.7,3,8,8,0.076,0.2,0.19
24001,24,12,2,4,19164,19221,19000,0.63,0.1,0.21,1,1,0,0.052,0.052,0
24002,24,2,0,0,8347,8360,8400,0.24,0,0,0,0,0,0,0,0
24003,24,12,0,2,48179,48233,48000,0.25,0,0.041,0,0,0,0,0,0
24004,24,1,0,1,4481,4467,4500,0.22,0,0.22,0,0,0,0,0,0
24005,24,21,2,0,19436,19488,20000,1.1,0.1,0,4,0,0,0.21,0,0
24006,24,0,0,0,9906,9922,10000,0,0,0,0,0,0,0,0,0
24007,24,4,1,0,19063,19131,19000,0.21,0.052,0,0,0,0,0,0,0
24008,24,9,0,0,21822,21857,22000,0.41,0,0,3,0,0,0.14,0,0
24009,24,0,0,1,4254,4289,4400,0,0,0.23,0,0,1,0,0,0.23
24010,24,12,8,0,31926,31973,32000,0.38,0.25,0,7,3,0,0.22,0.094,0
24011,24,23,2,0,44716,44844,45000,0.51,0.045,0,3,0,0,0.067,0,0
24012,24,17,4,1,21333,21353,21000,0.8,0.19,0.047,8,1,0,0.38,0.047,0
24013,24,229,54,7,172666,173300,170000,1.3,0.31,0.04,41,7,2,0.24,0.04,0.011
24014,24,3,0,2,17173,17139,17000,0.17,0,0.12,0,0,1,0,0,0.058
24015,24,8,2,0,21612,21659,22000,0.37,0.092,0,1,1,0,0.046,0.046,0
24016,24,39,2,5,42820,42978,43000,0.91,0.047,0.12,13,0,1,0.3,0,0.023
24017,24,26,4,8,26410,26432,27000,0.98,0.15,0.3,1,1,0,0.038,0.038,0
24018,24,9,1,1,15596,15621,16000,0.58,0.064,0.064,2,0,0,0.13,0,0
24019,24,0,1,0,5854,5856,5900,0,0.17,0,0,0,0,0,0,0
24020,24,92,28,0,94850,95291,96000,0.97,0.29,0,17,1,0,0.18,0.01,0
24021,24,7,7,5,55424,55682,56000,0.13,0.13,0.089,0,0,2,0,0,0.035
24022,24,4,1,1,19807,19853,20000,0.2,0.05,0.05,2,0,0,0.1,0,0
24023,24,7,2,0,16118,16158,16000,0.43,0.12,0,0,1,0,0,0.062,0
24024,24,165,15,0,94558,94863,96000,1.7,0.16,0,15,3,0,0.16,0.032,0
24025,24,23,1,2,31284,31421,32000,0.74,0.032,0.063,1,0,0,0.032,0,0
24026,24,2,1,0,9524,9529,9600,0.21,0.1,0,0,1,0,0,0.1,0
24027,24,14,0,3,10336,10343,10000,1.4,0,0.29,5,0,0,0.48,0,0
24028,24,4748,1085,409,795659,798606,810000,6,1.4,0.51,254,35,46,0.32,0.044,0.057
24029,24,6,1,4,21496,21436,21000,0.28,0.047,0.19,0,1,3,0,0.047,0.14
24030,24,0,1,3,5515,5501,5500,0,0.18,0.55,0,0,1,0,0,0.18
24031,24,0,1,1,12108,12136,12000,0,0.082,0.082,0,1,1,0,0.082,0.082
24032,24,20,4,3,41570,41723,42000,0.48,0.096,0.071,2,0,1,0.048,0,0.024
24033,24,4,0,1,12321,12350,12000,0.32,0,0.08,2,0,1,0.16,0,0.08
24034,24,5,1,4,15506,15578,16000,0.32,0.064,0.25,1,0,1,0.064,0,0.063
24035,24,80,51,63,281868,283987,290000,0.28,0.18,0.22,1,2,16,0.0035,0.007,0.055
24036,24,12,4,24,29586,29661,30000,0.41,0.13,0.8,7,0,4,0.24,0,0.13
24037,24,10,23,24,98558,98710,99000,0.1,0.23,0.24,1,2,3,0.01,0.02,0.03
24038,24,0,0,1,16004,16007,16000,0,0,0.062,0,0,1,0,0,0.062
24039,24,2,1,1,14532,14551,15000,0.14,0.069,0.068,2,0,1,0.14,0,0.068
24040,24,41,5,6,39054,39180,40000,1,0.13,0.15,2,1,1,0.051,0.026,0.025
24041,24,2,2,1,19529,19538,20000,0.1,0.1,0.051,1,0,1,0.051,0,0.051
24042,24,6,1,4,14762,14808,15000,0.41,0.068,0.27,2,0,1,0.14,0,0.067
24043,24,4,1,3,9130,9129,9100,0.44,0.11,0.33,0,0,2,0,0,0.22
24044,24,0,1,1,8160,8192,8300,0,0.12,0.12,0,0,1,0,0,0.12
24045,24,5,1,1,14726,14744,15000,0.34,0.068,0.068,1,1,1,0.068,0.068,0.068
24046,24,7,1,5,16772,16826,17000,0.42,0.059,0.29,0,0,2,0,0,0.12
24047,24,1,0,1,9979,9994,10000,0.1,0,0.1,0,0,1,0,0,0.1
24048,24,0,0,1,5504,5519,5600,0,0,0.18,0,0,1,0,0,0.18
24049,24,14,0,20,39136,39277,40000,0.36,0,0.5,3,0,2,0.077,0,0.05
24050,24,1,1,4,48594,48817,49000,0.021,0.02,0.081,0,0,1,0,0,0.02
24051,24,2,2,1,15224,15258,15000,0.13,0.13,0.065,0,1,0,0,0.066,0
24052,24,1,1,2,10372,10382,10000,0.096,0.096,0.19,1,1,1,0.096,0.096,0.096
24053,24,2,3,3,33726,33753,34000,0.059,0.089,0.089,0,0,0,0,0,0
24054,24,27,4,0,52139,52158,52000,0.52,0.077,0,2,2,0,0.038,0.038,0
24055,24,3,1,1,25443,25550,26000,0.12,0.039,0.039,1,0,0,0.039,0,0
24056,24,11,1,3,16048,16110,16000,0.69,0.062,0.18,6,0,1,0.37,0,0.061
24057,24,1,1,1,30648,30658,31000,0.033,0.033,0.033,0,1,0,0,0.033,0
24058,24,0,4,0,21227,21314,22000,0,0.19,0,0,0,0,0,0,0
25001,25,1217,1132,998,436162,440849,450000,2.8,2.6,2.2,141,125,169,0.32,0.28,0.38
25002,25,146,197,135,46834,47192,48000,3.1,4.2,2.8,42,34,15,0.9,0.72,0.32
25003,25,65,82,39,30697,30400,30000,2.1,2.7,1.3,56,70,27,1.8,2.3,0.89
25004,25,46,58,53,29644,29847,30000,1.6,1.9,1.8,11,17,19,0.37,0.57,0.63
25005,25,22,19,12,17074,16905,17000,1.3,1.1,0.71,13,16,6,0.76,0.95,0.36
25006,25,7657,6622,5512,902386,913231,920000,8.5,7.3,6,649,549,479,0.72,0.6,0.52
25007,25,46,51,44,34103,34240,34000,1.3,1.5,1.3,44,46,35,1.3,1.3,1
25008,25,44,60,67,43820,43305,43000,1,1.4,1.6,9,16,9,0.21,0.37,0.21
25009,25,52,57,67,56726,57332,58000,0.92,0.99,1.2,14,8,10,0.25,0.14,0.17
25010,25,234,278,219,101446,102166,1e+05,2.3,2.7,2.1,70,128,78,0.69,1.3,0.76
25011,25,498,532,532,298312,300866,3e+05,1.7,1.8,1.8,87,66,71,0.29,0.22,0.23
25012,25,2254,1644,1576,460935,466636,470000,4.9,3.5,3.3,307,104,91,0.67,0.22,0.19
25013,25,187,139,167,47440,47631,48000,3.9,2.9,3.5,85,40,41,1.8,0.84,0.86
25014,25,86,101,75,51186,51481,52000,1.7,2,1.4,25,28,24,0.49,0.54,0.46
25015,25,381,247,228,82194,82741,83000,4.6,3,2.7,96,47,20,1.2,0.57,0.24
25016,25,77,60,39,23080,22962,23000,3.3,2.6,1.7,24,20,14,1,0.87,0.61
25017,25,88,95,94,91491,91914,92000,0.96,1,1,57,67,45,0.62,0.73,0.49
25018,25,863,433,384,139663,139895,140000,6.2,3.1,2.7,177,83,55,1.3,0.59,0.39
26001,26,0,0,0,2732,0,0,0,0,0,0,0,0,0,0,0
26002,26,240,236,109,83018,84382,85000,2.9,2.8,1.3,22,18,11,0.27,0.21,0.13
26003,26,0,0,0,26690,0,0,0,0,0,0,0,0,0,0,0
26004,26,0,0,0,9384,0,0,0,0,0,0,0,0,0,0,0
26005,26,0,0,0,1270,0,0,0,0,0,0,0,0,0,0,0
26006,26,0,0,0,3118,0,0,0,0,0,0,0,0,0,0,0
26007,26,0,0,0,617,0,0,0,0,0,0,0,0,0,0,0
26008,26,0,0,0,1269,0,0,0,0,0,0,0,0,0,0,0
26009,26,0,0,0,802,0,0,0,0,0,0,0,0,0,0,0
26010,26,0,0,0,1530,0,0,0,0,0,0,0,0,0,0,0
26011,26,0,0,0,1728,0,0,0,0,0,0,0,0,0,0,0
26012,26,0,0,0,23780,0,0,0,0,0,0,0,0,0,0,0
26013,26,0,0,0,1715,0,0,0,0,0,0,0,0,0,0,0
26014,26,0,0,0,3652,0,0,0,0,0,0,0,0,0,0,0
26015,26,0,0,0,1514,0,0,0,0,0,0,0,0,0,0,0
26016,26,0,0,0,5380,0,0,0,0,0,0,0,0,0,0,0
26017,26,162,177,135,85858,87492,88000,1.9,2,1.5,28,25,21,0.33,0.29,0.24
26018,26,1568,1392,816,427482,433306,440000,3.7,3.2,1.9,81,99,97,0.19,0.23,0.22
26019,26,0,0,0,33854,0,0,0,0,0,0,0,0,0,0,0
26020,26,0,0,0,5630,0,0,0,0,0,0,0,0,0,0,0
26021,26,0,0,0,1678,0,0,0,0,0,0,0,0,0,0,0
26022,26,0,0,0,1015,0,0,0,0,0,0,0,0,0,0,0
26023,26,0,0,0,6629,0,0,0,0,0,0,0,0,0,0,0
26024,26,0,0,0,868,0,0,0,0,0,0,0,0,0,0,0
26025,26,159,0,0,56186,56782,0,2.8,0,0,4,0,0,0.071,0,0
26026,26,60,0,0,63167,63916,0,0.95,0,0,2,0,0,0.032,0,0
26027,26,0,0,0,9100,0,0,0,0,0,0,0,0,0,0,0
26028,26,0,0,0,1216,0,0,0,0,0,0,0,0,0,0,0
26029,26,274,299,193,156449,158820,160000,1.8,1.9,1.2,7,18,15,0.045,0.11,0.094
26030,26,3734,3853,2307,823852,837392,850000,4.5,4.6,2.7,68,84,62,0.083,0.1,0.073
26031,26,0,0,0,1402,0,0,0,0,0,0,0,0,0,0,0
26032,26,0,0,0,997,0,0,0,0,0,0,0,0,0,0,0
26033,26,255,191,88,82162,82960,83000,3.1,2.3,1.1,13,9,6,0.16,0.11,0.072
